ExportedOn
7/19/2022 2:51:06 PM

SampleClass,AgencyCode,StationNumber,RiverSubBasinCode,StationType,StationNameDescription,StationComment,LatititudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCodeDescription,TotalSampleCount,EarliestSample,PriorTo1970,During1970_79,During1980_89,During1990_99,During2000_2009,During2010_2019,MostRecentSampleDate,Inorganics_ions_physicals_nutrients_bacteria,Metals,Pesticides,Organics_No_Pesticides
A,211,AB05AA0056,05AA,0 (RIVER OR STREAM),PTOLEMY CREEK 0.1KM U/S CONFLUENCE WITH CROWSNEST CREEK,,49.60310,-114.67940,0 (WATER),4,03-Jun-2021,0,0,0,0,0,0,15-Sep-2021,4,4,0,4
A,211,AB05AA0065,05AA,0 (RIVER OR STREAM),CROWSNEST CREEK 0.2KM D/S HWY 3,,49.62798,-114.66924,0 (WATER),4,03-Jun-2021,0,0,0,0,0,0,15-Sep-2021,4,4,0,4
A,211,AB05AA0070,05AA,0 (RIVER OR STREAM),OLDMAN RIVER NEAR OLIN CREEK 11 MILES NORTH OF COWLEY,upstream of bridge,49.72799,-114.08578,91 (EPILITHIC),57,02-Sep-1998,0,0,0,3,39,15,01-Sep-2015,57,0,0,0
A,211,AB05AA0070,05AA,0 (RIVER OR STREAM),OLDMAN RIVER NEAR OLIN CREEK 11 MILES NORTH OF COWLEY,upstream of bridge,49.72799,-114.08578,50 (SEDIMENTS),2,04-Nov-2004,0,0,0,0,2,0,04-Nov-2004,2,2,0,0
A,211,AB05AA0070,05AA,0 (RIVER OR STREAM),OLDMAN RIVER NEAR OLIN CREEK 11 MILES NORTH OF COWLEY,upstream of bridge,49.72799,-114.08578,0 (WATER),142,22-May-1985,0,0,6,41,34,61,08-Mar-2016,142,31,8,0
A,211,AB05AA0080,05AA,0 (RIVER OR STREAM),OLDMAN RIVER 2 KM EAST OF COWLEY AIRPORT AT BROCKWELL FARM,,49.64306,-114.07028,0 (WATER),7,08-Oct-1985,0,0,7,0,0,0,04-Mar-1986,7,7,0,0
A,211,AB05AA0089,05AA,0 (RIVER OR STREAM),ALLISON CREEK NEAR THE MOUTH,off Sentinel Road,49.62944,-114.58689,91 (EPILITHIC),6,21-Aug-2013,0,0,0,0,0,6,06-Aug-2014,6,0,0,0
A,211,AB05AA0089,05AA,0 (RIVER OR STREAM),ALLISON CREEK NEAR THE MOUTH,off Sentinel Road,49.62944,-114.58689,0 (WATER),24,17-Apr-2013,0,0,0,0,0,24,16-Mar-2015,24,24,0,0
A,211,AB05AA0090,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER ABOVE COLEMAN,gps updated so on the river-reflects most historical/current samp locations-2021,49.63190,-114.54690,91 (EPILITHIC),3,14-Sep-2015,0,0,0,0,0,3,14-Sep-2015,3,0,0,0
A,211,AB05AA0090,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER ABOVE COLEMAN,gps updated so on the river-reflects most historical/current samp locations-2021,49.63190,-114.54690,0 (WATER),97,24-Oct-1974,0,42,0,21,17,13,15-Sep-2021,97,19,1,4
A,211,AB05AA0100,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER ABOVE BLAIRMORE,,49.61389,-114.45500,0 (WATER),30,14-Sep-1978,0,30,0,0,0,0,13-Dec-1979,29,0,0,0
A,211,AB05AA0105,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER 0.6KM U/S GOLD CREEK AT WSC GAUGE,,49.59680,-114.41060,0 (WATER),4,03-Jun-2021,0,0,0,0,0,0,15-Sep-2021,4,4,0,4
A,211,AB05AA0110,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER ABOVE BELLEVUE,"gps updated so on the river, reflects historical/current sampling locations-2021",49.57964,-114.37673,0 (WATER),34,14-Sep-1978,0,30,0,0,0,0,15-Sep-2021,34,4,0,4
A,211,AB05AA0120,05AA,0 (RIVER OR STREAM),BELLEVUE RESERVOIR SPILLWAY MINE SITE #1,,49.57889,-114.35833,0 (WATER),1,04-Sep-1992,0,0,0,1,0,0,04-Sep-1992,1,1,0,0
A,211,AB05AA0130,05AA,0 (RIVER OR STREAM),BELLEVUE MINE GANGWAY MINE SITE #2,,49.57222,-114.35722,0 (WATER),1,04-Sep-1992,0,0,0,1,0,0,04-Sep-1992,1,1,0,0
A,211,AB05AA0140,05AA,0 (RIVER OR STREAM),BELLEVUE MINE ENTRANCE MINE SITE #3,,49.57222,-114.35722,0 (WATER),1,04-Sep-1992,0,0,0,1,0,0,04-Sep-1992,1,1,0,0
A,211,AB05AA0150,05AA,0 (RIVER OR STREAM),BELLEVUE MINE OUTFALL U/S OF CROWSNEST RIVER MINE SITE #4,,49.57167,-114.36306,0 (WATER),2,04-Sep-1992,0,0,0,1,1,0,13-Sep-2001,1,2,0,0
A,211,AB05AA0160,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER U/S OF MINE OUTFALL MINE SITE #5,,49.57222,-114.36306,0 (WATER),1,04-Sep-1992,0,0,0,1,0,0,04-Sep-1992,1,1,0,0
A,211,AB05AA0170,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER D/S FROM MINE OUTFALL MINE SITE #6,,49.57111,-114.36306,0 (WATER),1,04-Sep-1992,0,0,0,1,0,0,04-Sep-1992,1,1,0,0
A,211,AB05AA0180,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER AT BRIDGE CROSSING NEAR BURMIS,,49.55139,-114.28194,91 (EPILITHIC),9,21-Aug-2013,0,0,0,0,0,9,10-Aug-2015,9,0,0,0
A,211,AB05AA0180,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER AT BRIDGE CROSSING NEAR BURMIS,,49.55139,-114.28194,0 (WATER),66,14-Sep-1978,0,30,0,0,0,36,09-Mar-2016,66,36,0,0
A,211,AB05AA0190,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER ABOVE LUNDBRECK FALLS,,49.58167,-114.20944,0 (WATER),6,09-May-1995,0,0,0,6,0,0,23-Oct-1995,6,0,0,0
A,211,AB05AA0200,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER NEAR LUNDBRECK,,49.59361,-114.17111,0 (WATER),11,18-Nov-1975,0,11,0,0,0,0,16-Sep-1978,11,0,0,0
A,211,AB05AA0220,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER U/S OF CONNELLY CREEK,,49.59655,-114.13798,91 (EPILITHIC),27,21-Jun-2001,0,0,0,0,12,15,01-Sep-2015,27,0,0,0
A,211,AB05AA0220,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER U/S OF CONNELLY CREEK,,49.59655,-114.13798,0 (WATER),164,23-Apr-1991,0,0,0,70,33,61,09-Mar-2016,164,57,12,0
A,211,AB05AA0250,05AA,0 (RIVER OR STREAM),COW CREEK NEAR THIRD BASE LINE,,49.69167,-114.18278,0 (WATER),8,12-Feb-1982,0,0,8,0,0,0,27-Sep-1982,8,8,0,0
A,211,AB05AA0260,05AA,0 (RIVER OR STREAM),COW CREEK NEAR MOUTH-NORTHWEST OF COWLEY,,49.60583,-114.12833,0 (WATER),8,31-Mar-1982,0,0,8,0,0,0,25-Oct-1982,8,8,0,0
A,211,AB05AA0261,05AA,0 (RIVER OR STREAM),COW CREEK 3 KM U/S CONFLUENCE WITH TODD CREEK,north of Twp Rd 80,49.62161,-114.13931,91 (EPILITHIC),12,14-Aug-2008,0,0,0,0,3,9,22-Aug-2013,12,0,0,0
A,211,AB05AA0261,05AA,0 (RIVER OR STREAM),COW CREEK 3 KM U/S CONFLUENCE WITH TODD CREEK,north of Twp Rd 80,49.62161,-114.13931,0 (WATER),28,30-Apr-2008,0,0,0,0,7,21,16-Oct-2013,28,28,0,0
A,211,AB05AA0262,05AA,0 (RIVER OR STREAM),TODD CREEK U/S OF COW CREEK CONFLUENCE,west of range rd 15 at bridge on twp rd 82,49.64075,-114.12597,91 (EPILITHIC),12,14-Aug-2008,0,0,0,0,3,9,22-Aug-2013,12,0,0,0
A,211,AB05AA0262,05AA,0 (RIVER OR STREAM),TODD CREEK U/S OF COW CREEK CONFLUENCE,west of range rd 15 at bridge on twp rd 82,49.64075,-114.12597,0 (WATER),28,30-Apr-2008,0,0,0,0,7,21,16-Oct-2013,28,28,0,0
A,211,AB05AA0263,05AA,0 (RIVER OR STREAM),TODD CREEK U/S CONFLUENCE WITH CROWSNEST RIVER,u/s of bridge on twp rd 75A beside day use area,49.60489,-114.12239,91 (EPILITHIC),8,24-Aug-2011,0,0,0,0,0,8,14-Sep-2015,6,0,0,0
A,211,AB05AA0263,05AA,0 (RIVER OR STREAM),TODD CREEK U/S CONFLUENCE WITH CROWSNEST RIVER,u/s of bridge on twp rd 75A beside day use area,49.60489,-114.12239,0 (WATER),61,30-Apr-2008,0,0,0,0,12,49,09-Mar-2016,57,57,7,0
A,211,AB05AA0264,05AA,0 (RIVER OR STREAM),CONNELLY CREEK U/S CONFLUENCE WITH CROWSNEST RIVER,d/s of farmhouse on twp 74B at bridge,49.59875,-114.13842,91 (EPILITHIC),15,14-Aug-2008,0,0,0,0,3,12,14-Sep-2015,15,0,0,0
A,211,AB05AA0264,05AA,0 (RIVER OR STREAM),CONNELLY CREEK U/S CONFLUENCE WITH CROWSNEST RIVER,d/s of farmhouse on twp 74B at bridge,49.59875,-114.13842,0 (WATER),60,30-Apr-2008,0,0,0,0,11,49,09-Mar-2016,57,57,7,0
A,211,AB05AA0270,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER NEAR THE MOUTH,,49.59778,-114.09028,0 (WATER),62,24-Jan-1979,0,24,38,0,0,0,04-Mar-1986,60,16,1,1
A,211,AB05AA0280,05AA,0 (RIVER OR STREAM),MCGILLIVRAY CREEK D/S OF MINE,,49.63306,-114.51972,91 (EPILITHIC),9,21-Aug-2013,0,0,0,0,0,9,10-Aug-2015,9,0,0,0
A,211,AB05AA0280,05AA,0 (RIVER OR STREAM),MCGILLIVRAY CREEK D/S OF MINE,,49.63306,-114.51972,0 (WATER),44,30-Nov-1971,0,8,0,0,0,36,09-Mar-2016,44,36,0,0
A,211,AB05AA0290,05AA,0 (RIVER OR STREAM),SOUTH TRIBUTARY TO GLADSTONE CREEK SITE #7,,49.36778,-114.22639,0 (WATER),2,26-Apr-1983,0,0,2,0,0,0,19-May-1983,2,0,0,0
A,211,AB05AA0300,05AA,0 (RIVER OR STREAM),SOUTH TRIBUTARY TO GLADSTONE CREEK SITE #8,,49.37000,-114.21944,0 (WATER),3,26-Apr-1983,0,0,3,0,0,0,19-Apr-1984,3,0,0,0
A,211,AB05AA0310,05AA,0 (RIVER OR STREAM),NORTH TRIBUTARY TO GLADSTONE CREEK UPPER SITE #1,,49.37444,-114.23889,0 (WATER),3,26-Apr-1983,0,0,3,0,0,0,19-Apr-1984,3,0,0,0
A,211,AB05AA0320,05AA,0 (RIVER OR STREAM),NORTH TRIBUTARY TO GLADSTONE CREEK U/S OF RESERVOIR-SITE#2,,49.37944,-114.22500,0 (WATER),3,26-Apr-1983,0,0,3,0,0,0,19-Apr-1984,3,0,0,0
A,211,AB05AA0330,05AA,0 (RIVER OR STREAM),NORTH TRIBUTARY TO GLADSTONE CREEK BELOW RESERVOIR-SITE #3,,49.38278,-114.21528,0 (WATER),3,26-Apr-1983,0,0,3,0,0,0,19-Apr-1984,3,0,0,0
A,211,AB05AA0340,05AA,0 (RIVER OR STREAM),NORTH TRIBUTARY TO GLADSTONE CREEK BELOW DUMP SITE-SITE #4,,49.38333,-114.21111,0 (WATER),3,26-Apr-1983,0,0,3,0,0,0,19-Apr-1984,3,0,0,0
A,211,AB05AA0350,05AA,0 (RIVER OR STREAM),NORTH TRIBUTARY TO GLADSTONE CREEK BEFORE CONFLUENCE OF GLADSTONE CREEK SITE #5,,49.38889,-114.20278,0 (WATER),3,26-Apr-1983,0,0,3,0,0,0,19-Apr-1984,3,0,0,0
A,211,AB05AA0360,05AA,0 (RIVER OR STREAM),TRIBUTARY BELOW GUEST RANCH DUMP SITE #6,,49.38889,-114.21389,0 (WATER),2,26-Apr-1983,0,0,2,0,0,0,19-May-1983,2,0,0,0
A,211,AB05AA0370,05AA,0 (RIVER OR STREAM),NORTH TRIBUTARY NEAR CONFLUENCE TO GLADSTONE CREEK SITE #9,,49.38278,-114.20472,0 (WATER),3,26-Apr-1983,0,0,3,0,0,0,19-Apr-1984,3,0,0,0
A,211,AB05AA0380,05AA,0 (RIVER OR STREAM),GLADSTONE CREEK U/S SITE #10,,49.35556,-114.22917,0 (WATER),1,19-Apr-1984,0,0,1,0,0,0,19-Apr-1984,1,0,0,0
A,211,AB05AA0390,05AA,0 (RIVER OR STREAM),GLADSTONE CREEK D/S SITE #11,,49.36389,-114.22139,0 (WATER),1,19-Apr-1984,0,0,1,0,0,0,19-Apr-1984,1,0,0,0
A,211,AB05AA0400,05AA,0 (RIVER OR STREAM),CASTLE RIVER AT CASTLE RIVER RECREATION AREA,,49.52083,-114.03444,91 (EPILITHIC),27,21-Jun-2001,0,0,0,0,12,15,01-Sep-2015,27,0,0,0
A,211,AB05AA0400,05AA,0 (RIVER OR STREAM),CASTLE RIVER AT CASTLE RIVER RECREATION AREA,,49.52083,-114.03444,0 (WATER),175,23-Apr-1991,0,0,0,70,44,61,08-Mar-2016,175,36,16,0
A,211,AB05AA0410,05AA,0 (RIVER OR STREAM),CASTLE RIVER AT HWY 3 BRIDGE NEAR COWLEY,,49.54333,-114.03167,0 (WATER),38,09-Apr-1984,0,0,38,0,0,0,04-Mar-1986,36,16,1,1
A,211,AB05AA0420,05AA,0 (RIVER OR STREAM),OLDMAN RIVER BELOW CONFLUENCE OF CASTLE RIVER,,49.58611,-113.92778,0 (WATER),12,24-Oct-1974,0,12,0,0,0,0,09-Mar-1976,12,0,0,0
A,211,AB05AA0430,05AA,0 (RIVER OR STREAM),PINCHER CREEK NEAR BEAUVAIS LAKE,,49.40833,-114.01500,0 (WATER),9,13-Feb-1982,0,0,9,0,0,0,25-Oct-1982,9,9,0,0
A,211,AB05AA0440,05AA,0 (RIVER OR STREAM),PINCHER CREEK AT PINCHER CREEK,,49.48194,-113.96861,91 (EPILITHIC),9,27-Sep-2004,0,0,0,0,6,3,14-Sep-2015,9,0,0,0
A,211,AB05AA0440,05AA,0 (RIVER OR STREAM),PINCHER CREEK AT PINCHER CREEK,,49.48194,-113.96861,0 (WATER),81,13-Feb-1982,0,0,9,0,11,58,15-Mar-2020,80,69,7,0
A,211,AB05AA0450,05AA,0 (RIVER OR STREAM),PINCHER CREEK D/S OF PINCHER CREEK,,49.50361,-113.90472,0 (WATER),8,31-Mar-1982,0,0,8,0,0,0,25-Oct-1982,8,8,0,0
A,211,AB05AA0460,05AA,0 (RIVER OR STREAM),INDIAN FARM CREEK SOUTH OF PINCHER CREEK AT HWY 6,,49.36258,-113.91300,0 (WATER),8,13-Feb-1982,0,0,8,0,0,0,27-Sep-1982,8,8,0,0
A,211,AB05AA0470,05AA,0 (RIVER OR STREAM),INDIAN FARM CREEK NEAR CONFLUENCE WITH PINCHER CREEK,,49.49472,-113.89611,0 (WATER),5,31-Mar-1982,0,0,5,0,0,0,27-Jul-1982,5,5,0,0
A,211,AB05AA0480,05AA,0 (RIVER OR STREAM),PINCHER CREEK AT HWY 3 NEAR THE MOUTH,,49.54628,-113.79454,91 (EPILITHIC),12,20-Aug-2012,0,0,0,0,0,12,15-Sep-2015,12,0,0,0
A,211,AB05AA0480,05AA,0 (RIVER OR STREAM),PINCHER CREEK AT HWY 3 NEAR THE MOUTH,,49.54628,-113.79454,0 (WATER),161,31-Mar-1982,0,0,17,42,5,94,15-Mar-2020,157,78,11,0
A,211,AB05AA0490,05AA,1 (LAKE),BEAUVAIS LAKE COMPOSITE,,49.41389,-114.10833,0 (WATER),107,31-May-1984,0,0,33,41,20,9,15-Sep-2020,102,2,2,0
A,211,AB05AA0500,05AA,1 (LAKE),BEAUVAIS LAKE PROFILE,,49.41389,-114.10833,97 (INVERTEBRATES),8,18-Jul-2016,0,0,0,0,0,2,19-Aug-2020,,,,
A,211,AB05AA0500,05AA,1 (LAKE),BEAUVAIS LAKE PROFILE,,49.41389,-114.10833,0 (WATER),504,04-Mar-1985,0,0,71,102,95,155,15-Sep-2020,495,3,0,0
A,211,AB05AA0700,05AA,91 (AERATED LAGOON(MECHANICAL)),CNP-BELLEVUE CNP-BELLEVUE STP:AERATED LAGOON(MECHANICAL),,49.58333,-114.36667,22 (TREATED WASTEWATER),14,15-Apr-1998,0,0,0,12,2,0,07-Jun-2005,14,2,0,0
A,211,AB05AA0760,05AA,24 (ACTIVATED SLUDGE.),CNP-FRANK CNP-FRANK STP,ACTIVATED SLUDGE PLANT,49.60000,-114.40000,22 (TREATED WASTEWATER),24,14-Apr-1998,0,0,0,22,2,0,07-Jun-2005,14,2,0,0
A,211,AB05AA1000,05AA,1 (LAKE),UNNAMED LAKE GRAB,IN WATERTON REGION 30-3-3-W5 THIRD PARTY SAMPLED,49.23333,-114.40000,0 (WATER),1,05-Oct-1978,0,1,0,0,0,0,05-Oct-1978,1,0,0,0
A,211,AB05AA1010,05AA,1 (LAKE),UNNAMED LAKE GRAB,IN WATERTON REGION THIRD PARTY SAMPLED APRIL 1988,49.30000,-114.43333,0 (WATER),1,28-Jun-1978,0,1,0,0,0,0,28-Jun-1978,1,0,0,0
A,211,AB05AA1020,05AA,1 (LAKE),BEAUVAIS LAKE GRAB,IN WATERTON AREA THIRD PARTY SAMPLED APRIL 1988,49.41667,-114.10000,0 (WATER),4,11-Oct-1977,0,3,1,0,0,0,28-Oct-1981,4,0,0,0
A,211,AB05AA1030,05AA,1 (LAKE),BURMIS LAKE GRAB,IN WATERTON REGION THIRD PARTY SAMPLED APRIL 1988,49.55000,-114.28333,0 (WATER),4,12-Oct-1977,0,3,1,0,0,0,18-Oct-1981,4,0,0,0
A,211,AB05AA1040,05AA,1 (LAKE),COCHRANE LAKE GRAB,IN RED DEER-CALGRAY REGION THIRD PARTY SAMPLED APRIL 1988,49.33333,-113.61667,0 (WATER),1,10-May-1978,0,1,0,0,0,0,10-May-1978,1,0,0,0
A,211,AB05AA1050,05AA,1 (LAKE),COLEMAN LAKE GRAB,IN RED DEER-CALGRAY REGION THIRD PARTY SAMPLED APRIL 1988,49.65000,-114.53333,0 (WATER),1,09-Jul-1979,0,1,0,0,0,0,09-Jul-1979,1,0,0,0
A,211,AB05AA1055,05AA,1 (LAKE),CHINOOK LAKE COMPOSITE,,49.67236,-114.60342,0 (WATER),4,26-Jun-2018,0,0,0,0,0,4,25-Sep-2018,4,0,0,0
A,211,AB05AA1056,05AA,1 (LAKE),CHINOOK LAKE PROFILE,,49.67236,-114.60342,97 (INVERTEBRATES),9,23-Jul-2018,0,0,0,0,0,9,25-Sep-2018,,,,
A,211,AB05AA1056,05AA,1 (LAKE),CHINOOK LAKE PROFILE,,49.67236,-114.60342,0 (WATER),39,26-Jun-2018,0,0,0,0,0,39,25-Sep-2018,35,0,0,0
A,211,AB05AA1060,05AA,1 (LAKE),CROWSNEST LAKE GRAB,IN RED DEER CALGARY REGION THIRD PARTY SAMPLED APRIL 1988,49.62861,-114.64389,0 (WATER),4,12-Oct-1977,0,3,1,0,0,0,29-May-1980,4,0,0,0
A,211,AB05AA1061,05AA,1 (LAKE),CROWSNEST LAKE WHOLE LAKE COMPOSITE,,49.62886,-114.64958,0 (WATER),15,05-Jun-2007,0,0,0,0,7,4,04-Oct-2021,15,4,0,0
A,211,AB05AA1062,05AA,1 (LAKE),CROWSNEST LAKE WEST BASIN PROFILE,,49.62886,-114.64958,97 (INVERTEBRATES),9,24-Jul-2018,0,0,0,0,0,9,25-Sep-2018,,,,
A,211,AB05AA1062,05AA,1 (LAKE),CROWSNEST LAKE WEST BASIN PROFILE,,49.62886,-114.64958,0 (WATER),526,05-Jun-2007,0,0,0,0,174,158,04-Oct-2021,494,8,0,0
A,211,AB05AA1063,05AA,1 (LAKE),CROWSNEST LAKE EAST BASIN PROFILE,,49.63740,-114.62953,0 (WATER),131,12-May-2021,0,0,0,0,0,0,04-Oct-2021,98,4,0,0
A,211,AB05AA1070,05AA,1 (LAKE),LEES LAKE GRAB,IN RED DEER-CALGARY REGION THIRD PARTY SAMPLED APRIL 1988,49.53333,-114.25000,0 (WATER),3,12-Oct-1977,0,2,1,0,0,0,28-Oct-1981,3,0,0,0
A,211,AB05AA1071,05AA,1 (LAKE),LEE LAKE COMPOSITE,,49.54330,-114.25300,0 (WATER),4,28-Jun-2017,0,0,0,0,0,4,26-Sep-2017,4,0,0,0
A,211,AB05AA1072,05AA,1 (LAKE),LEE LAKE PROFILE,,49.54330,-114.25300,97 (INVERTEBRATES),3,26-Jul-2017,0,0,0,0,0,3,25-Sep-2017,,,,
A,211,AB05AA1072,05AA,1 (LAKE),LEE LAKE PROFILE,,49.54330,-114.25300,0 (WATER),111,28-Jun-2017,0,0,0,0,0,111,01-Feb-2018,107,5,0,0
A,211,AB05AA1080,05AA,1 (LAKE),LYS LAKE GRAB,IN RED DEER-CALGARY REGION THIRD PARTY SAMPLED APRIL 1988,49.28333,-114.30000,0 (WATER),1,29-Jun-1977,0,1,0,0,0,0,29-Jun-1977,1,0,0,0
A,211,AB05AA1090,05AA,1 (LAKE),PRAIRIE BLUFF LAKE GRAB,LOCATED IN RED DEER CALGARY REGION THIRD PARTY SAMPLED APRIL 1988,49.33333,-114.10000,0 (WATER),1,20-Jul-1977,0,1,0,0,0,0,20-Jul-1977,1,0,0,0
A,211,AB05AA1100,05AA,1 (LAKE),RAINY RIDGE LAKE GRAB,IN RED DEER-CALGARY REGION THIRD PARTY SAMPLED APRIL 1988,49.26667,-114.41667,0 (WATER),1,11-Jul-1977,0,1,0,0,0,0,11-Jul-1977,1,0,0,0
A,211,AB05AA1110,05AA,1 (LAKE),EMERALD LAKE GRAB,IN RED DEER-CALGARY REGION THIRD PARTY SAMPLED APRIL 1988,49.62778,-114.64306,0 (WATER),3,12-Oct-1977,0,3,0,0,0,0,16-Oct-1979,3,0,0,0
