SITE_NO,LOCATION,YEAR,VARIABLE,VALUE,UNIT_UNITE,SITE_NAME,SITE_NOM_FR,SITE_TYPE,SITE_DESC,SITE_DESC_FR,LATITUDE,LONGITUDE,DATUM,PROV_TERR,PEARSEDA,PEARSEDA_FR,OCEANDA,OCEANDA_FR,DATA_URL,DATA_URL_FR,COLOR
BC08NE0005,columbia,2000,SULPHATE DISSOLVED,10.377692307692307,MG/L,COLUMBIA RIVER AT BIRCHBANK,FLEUVE COLUMBIA À BIRCHBANK,RIVER/RIVIÈRE,,,49.1769,-117.7175,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0005/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0005/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NE0005,columbia,2000,TEMPERATURE WATER,10.423076923076923,DEG C,COLUMBIA RIVER AT BIRCHBANK,FLEUVE COLUMBIA À BIRCHBANK,RIVER/RIVIÈRE,,,49.1769,-117.7175,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0005/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0005/Projects/PYLTM/Regions/0?new_lang=fr,red
SA05KH0002,lower_saskatchewan,2000,OXYGEN DISSOLVED,7.124,MG/L,CARROT RIVER NEAR TURNBERRY,RIVIÈRE CARROT PRÈS DE TURNBERRY,RIVER/RIVIÈRE,,,53.6,-102.1167,NAD27,SK,LOWER SASKATCHEWANNELSON,BAS SASKATCHEWANNELSON,HUDSON BAY,BAIE D'HUDSON,,,blue
SA05KH0002,lower_saskatchewan,2000,PH,7.813684210526316,PH UNITS,CARROT RIVER NEAR TURNBERRY,RIVIÈRE CARROT PRÈS DE TURNBERRY,RIVER/RIVIÈRE,,,53.6,-102.1167,NAD27,SK,LOWER SASKATCHEWANNELSON,BAS SASKATCHEWANNELSON,HUDSON BAY,BAIE D'HUDSON,,,blue
SA05KH0002,lower_saskatchewan,2000,PHOSPHORUS TOTAL DISSOLVED,0.019083333333333334,MG/L,CARROT RIVER NEAR TURNBERRY,RIVIÈRE CARROT PRÈS DE TURNBERRY,RIVER/RIVIÈRE,,,53.6,-102.1167,NAD27,SK,LOWER SASKATCHEWANNELSON,BAS SASKATCHEWANNELSON,HUDSON BAY,BAIE D'HUDSON,,,blue
SA05KH0002,lower_saskatchewan,2000,SULPHATE DISSOLVED,46.771428571428565,MG/L,CARROT RIVER NEAR TURNBERRY,RIVIÈRE CARROT PRÈS DE TURNBERRY,RIVER/RIVIÈRE,,,53.6,-102.1167,NAD27,SK,LOWER SASKATCHEWANNELSON,BAS SASKATCHEWANNELSON,HUDSON BAY,BAIE D'HUDSON,,,blue
SA05KH0002,lower_saskatchewan,2000,TEMPERATURE WATER,6.9425,DEG C,CARROT RIVER NEAR TURNBERRY,RIVIÈRE CARROT PRÈS DE TURNBERRY,RIVER/RIVIÈRE,,,53.6,-102.1167,NAD27,SK,LOWER SASKATCHEWANNELSON,BAS SASKATCHEWANNELSON,HUDSON BAY,BAIE D'HUDSON,,,blue
BC08NE0029,columbia,2000,PH,7.993333333333333,PH UNITS,PEND D'OREILLE RIVER AT WANETA,RIVIÈRE PEND D'OREILLE À WANETA,RIVER/RIVIÈRE,,,49.0031,-117.6167,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0029/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0029/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NE0029,columbia,2000,PHOSPHORUS TOTAL DISSOLVED,0.007583333333333333,MG/L,PEND D'OREILLE RIVER AT WANETA,RIVIÈRE PEND D'OREILLE À WANETA,RIVER/RIVIÈRE,,,49.0031,-117.6167,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0029/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0029/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NE0029,columbia,2000,SULPHATE DISSOLVED,5.5808333333333335,MG/L,PEND D'OREILLE RIVER AT WANETA,RIVIÈRE PEND D'OREILLE À WANETA,RIVER/RIVIÈRE,,,49.0031,-117.6167,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0029/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0029/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08ND0003,columbia,2000,TEMPERATURE WATER,5.888888888888889,DEG C,ILLECILLEWAET RIVER AT PARK ENTRANCE,RIVIÈRE ILLECILLEWAET À L'ENTRÉE DU PARC,RIVER/RIVIÈRE,,,51.2138,-117.6958,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08ND0003/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08ND0003/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NE0029,columbia,2000,TEMPERATURE WATER,11.208333333333334,DEG C,PEND D'OREILLE RIVER AT WANETA,RIVIÈRE PEND D'OREILLE À WANETA,RIVER/RIVIÈRE,,,49.0031,-117.6167,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0029/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0029/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08ND0003,columbia,2000,SULPHATE DISSOLVED,9.458333333333334,MG/L,ILLECILLEWAET RIVER AT PARK ENTRANCE,RIVIÈRE ILLECILLEWAET À L'ENTRÉE DU PARC,RIVER/RIVIÈRE,,,51.2138,-117.6958,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08ND0003/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08ND0003/Projects/PYLTM/Regions/0?new_lang=fr,red
AL05BA0011,south_saskatchewan,2000,OXYGEN DISSOLVED,11.018235294117646,MG/L,BOW RIVER AT HWY 1 ABOVE LAKE LOUISE,RIVIÈRE BOW À L'AUT. 1 EN AMONT DE LAC LOUISE,RIVER/RIVIÈRE,,,51.4433,-116.2117,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
BC08NA0033,columbia,2000,PH,8.046,PH UNITS,KICKING HORSE RIVER ABOVE FIELD,RIVIÈRE KICKING HORSE EN AMONT DE FIELD,RIVER/RIVIÈRE,,,51.4192,-116.4378,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NA0033/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NA0033/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NA0033,columbia,2000,SULPHATE DISSOLVED,31.9832,MG/L,KICKING HORSE RIVER ABOVE FIELD,RIVIÈRE KICKING HORSE EN AMONT DE FIELD,RIVER/RIVIÈRE,,,51.4192,-116.4378,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NA0033/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NA0033/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NA0033,columbia,2000,TEMPERATURE WATER,2.68,DEG C,KICKING HORSE RIVER ABOVE FIELD,RIVIÈRE KICKING HORSE EN AMONT DE FIELD,RIVER/RIVIÈRE,,,51.4192,-116.4378,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NA0033/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NA0033/Projects/PYLTM/Regions/0?new_lang=fr,red
NW10VK0003,arctic,2000,TEMPERATURE WATER,5.0,DEG C,ABBE RIVER AT LAKE HAZEN,RIVIÈRE ABBE AU LAC HAZEN,RIVER/RIVIÈRE,,,81.84288,-70.92143,NAD83,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
NW10VK0003,arctic,2000,SULPHATE DISSOLVED,4.8,MG/L,ABBE RIVER AT LAKE HAZEN,RIVIÈRE ABBE AU LAC HAZEN,RIVER/RIVIÈRE,,,81.84288,-70.92143,NAD83,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
NW10VK0003,arctic,2000,PHOSPHORUS TOTAL DISSOLVED,0.002,MG/L,ABBE RIVER AT LAKE HAZEN,RIVIÈRE ABBE AU LAC HAZEN,RIVER/RIVIÈRE,,,81.84288,-70.92143,NAD83,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
NW10VK0003,arctic,2000,PH,8.21,PH UNITS,ABBE RIVER AT LAKE HAZEN,RIVIÈRE ABBE AU LAC HAZEN,RIVER/RIVIÈRE,,,81.84288,-70.92143,NAD83,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
AL05BE0013,south_saskatchewan,2000,TEMPERATURE WATER,16.176,DEG C,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,RIVIÈRE BOW ENVIRON 4.5 KM DE CANMORE,RIVER/RIVIÈRE,,,51.1228,-115.3867,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
AL05BE0013,south_saskatchewan,2000,SULPHATE DISSOLVED,39.67272727272728,MG/L,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,RIVIÈRE BOW ENVIRON 4.5 KM DE CANMORE,RIVER/RIVIÈRE,,,51.1228,-115.3867,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
AL05BE0013,south_saskatchewan,2000,PHOSPHORUS TOTAL DISSOLVED,0.008785714285714286,MG/L,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,RIVIÈRE BOW ENVIRON 4.5 KM DE CANMORE,RIVER/RIVIÈRE,,,51.1228,-115.3867,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
AL05BE0013,south_saskatchewan,2000,PH,8.272857142857143,PH UNITS,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,RIVIÈRE BOW ENVIRON 4.5 KM DE CANMORE,RIVER/RIVIÈRE,,,51.1228,-115.3867,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
AL05BE0013,south_saskatchewan,2000,OXYGEN DISSOLVED,11.468823529411765,MG/L,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,RIVIÈRE BOW ENVIRON 4.5 KM DE CANMORE,RIVER/RIVIÈRE,,,51.1228,-115.3867,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
BC08NB0002,columbia,2000,SULPHATE DISSOLVED,13.130555555555555,MG/L,BEAVER RIVER NEAR EAST PARK GATE,RIVIÈRE BEAVER PRÈS DE EAST PARK GATE,RIVER/RIVIÈRE,,,51.3834,-117.4504,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NB0002/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NB0002/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NB0002,columbia,2000,TEMPERATURE WATER,5.388888888888889,DEG C,BEAVER RIVER NEAR EAST PARK GATE,RIVIÈRE BEAVER PRÈS DE EAST PARK GATE,RIVER/RIVIÈRE,,,51.3834,-117.4504,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NB0002/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NB0002/Projects/PYLTM/Regions/0?new_lang=fr,red
MA05KH0001,lower_saskatchewan,2000,OXYGEN DISSOLVED,8.476666666666667,MG/L,SASKATCHEWAN RIVER ABOVE CARROT RIVER,RIVIÈRE SASKATCHEWAN EN AMONT DE LA RIVIÈRE CARROT,RIVER/RIVIÈRE,,,53.8417,-101.3344,NAD27,MB,LOWER SASKATCHEWANNELSON,BAS SASKATCHEWANNELSON,HUDSON BAY,BAIE D'HUDSON,,,purple
MA05KH0001,lower_saskatchewan,2000,PH,8.1835,PH UNITS,SASKATCHEWAN RIVER ABOVE CARROT RIVER,RIVIÈRE SASKATCHEWAN EN AMONT DE LA RIVIÈRE CARROT,RIVER/RIVIÈRE,,,53.8417,-101.3344,NAD27,MB,LOWER SASKATCHEWANNELSON,BAS SASKATCHEWANNELSON,HUDSON BAY,BAIE D'HUDSON,,,purple
MA05KH0001,lower_saskatchewan,2000,PHOSPHORUS TOTAL DISSOLVED,0.007200000000000001,MG/L,SASKATCHEWAN RIVER ABOVE CARROT RIVER,RIVIÈRE SASKATCHEWAN EN AMONT DE LA RIVIÈRE CARROT,RIVER/RIVIÈRE,,,53.8417,-101.3344,NAD27,MB,LOWER SASKATCHEWANNELSON,BAS SASKATCHEWANNELSON,HUDSON BAY,BAIE D'HUDSON,,,purple
MA05KH0001,lower_saskatchewan,2000,SULPHATE DISSOLVED,50.480000000000004,MG/L,SASKATCHEWAN RIVER ABOVE CARROT RIVER,RIVIÈRE SASKATCHEWAN EN AMONT DE LA RIVIÈRE CARROT,RIVER/RIVIÈRE,,,53.8417,-101.3344,NAD27,MB,LOWER SASKATCHEWANNELSON,BAS SASKATCHEWANNELSON,HUDSON BAY,BAIE D'HUDSON,,,purple
MA05KH0001,lower_saskatchewan,2000,TEMPERATURE WATER,9.345454545454546,DEG C,SASKATCHEWAN RIVER ABOVE CARROT RIVER,RIVIÈRE SASKATCHEWAN EN AMONT DE LA RIVIÈRE CARROT,RIVER/RIVIÈRE,,,53.8417,-101.3344,NAD27,MB,LOWER SASKATCHEWANNELSON,BAS SASKATCHEWANNELSON,HUDSON BAY,BAIE D'HUDSON,,,purple
AL05BA0011,south_saskatchewan,2000,TEMPERATURE WATER,14.036363636363637,DEG C,BOW RIVER AT HWY 1 ABOVE LAKE LOUISE,RIVIÈRE BOW À L'AUT. 1 EN AMONT DE LAC LOUISE,RIVER/RIVIÈRE,,,51.4433,-116.2117,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
AL05BA0011,south_saskatchewan,2000,SULPHATE DISSOLVED,11.936363636363636,MG/L,BOW RIVER AT HWY 1 ABOVE LAKE LOUISE,RIVIÈRE BOW À L'AUT. 1 EN AMONT DE LAC LOUISE,RIVER/RIVIÈRE,,,51.4433,-116.2117,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
AL05BA0011,south_saskatchewan,2000,PHOSPHORUS TOTAL DISSOLVED,0.002357142857142857,MG/L,BOW RIVER AT HWY 1 ABOVE LAKE LOUISE,RIVIÈRE BOW À L'AUT. 1 EN AMONT DE LAC LOUISE,RIVER/RIVIÈRE,,,51.4433,-116.2117,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
AL05BA0011,south_saskatchewan,2000,PH,7.975,PH UNITS,BOW RIVER AT HWY 1 ABOVE LAKE LOUISE,RIVIÈRE BOW À L'AUT. 1 EN AMONT DE LAC LOUISE,RIVER/RIVIÈRE,,,51.4433,-116.2117,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
BC08ND0003,columbia,2000,PH,7.586666666666667,PH UNITS,ILLECILLEWAET RIVER AT PARK ENTRANCE,RIVIÈRE ILLECILLEWAET À L'ENTRÉE DU PARC,RIVER/RIVIÈRE,,,51.2138,-117.6958,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08ND0003/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08ND0003/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NF0001,columbia,2000,PH,8.2125,PH UNITS,KOOTENAY RIVER AT KOOTENAY CROSSING,RIVIÈRE KOOTENAY À KOOTENAY CROSSING,RIVER/RIVIÈRE,,,50.8856,-116.0431,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NF0001/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NF0001/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NF0001,columbia,2000,PHOSPHORUS TOTAL DISSOLVED,0.003875,MG/L,KOOTENAY RIVER AT KOOTENAY CROSSING,RIVIÈRE KOOTENAY À KOOTENAY CROSSING,RIVER/RIVIÈRE,,,50.8856,-116.0431,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NF0001/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NF0001/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NF0001,columbia,2000,SULPHATE DISSOLVED,8.08375,MG/L,KOOTENAY RIVER AT KOOTENAY CROSSING,RIVIÈRE KOOTENAY À KOOTENAY CROSSING,RIVER/RIVIÈRE,,,50.8856,-116.0431,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NF0001/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NF0001/Projects/PYLTM/Regions/0?new_lang=fr,red
NW10UF0002,arctic,2000,PHOSPHORUS TOTAL DISSOLVED,0.06,MG/L,WEASEL RIVER NEAR THE MOUTH,RIVIÈRE WEASEL PRÈS DE L'EMBOUCHURE,RIVER/RIVIÈRE,,,66.3736,-65.4811,NAD27,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
